Word,block,response,totcount,theword,proportion
Block,category_organization,"Form, Color",29,블럭,0.06896551724137931
Block,category_organization,"Form, Color, Material",29,블럭,0.10344827586206896
Block,category_organization,"Form, Material",29,블럭,0.1724137931034483
Block,category_organization,Material,29,블럭,0.10344827586206896
Block,category_organization,Not applicable,29,블럭,0.034482758620689655
Block,count_mass,Can be counted,30,블럭,0.8
Block,count_mass,Cannot be counted,30,블럭,0.06666666666666667
Block,count_mass,I don't know/It's hard to say,30,블럭,0.13333333333333333
Block,solidity,I don't know/It's hard to say,32,블럭,0.125
Block,solidity,Solid,32,블럭,0.875
Blood,category_organization,"Color, Material",29,피,0.27586206896551724
Blood,category_organization,Form,29,피,0.3448275862068966
Blood,category_organization,"Form, Color",29,피,0.034482758620689655
Blood,category_organization,"Form, Color, Material",29,피,0.13793103448275862
Blood,category_organization,"Form, Color, Material, Not applicable",29,피,0.034482758620689655
Blood,category_organization,"Form, Material",29,피,0.06896551724137931
Blood,category_organization,Material,29,피,0.10344827586206896
Blood,count_mass,Can be counted,32,피,0.25
Blood,count_mass,Cannot be counted,32,피,0.53125
Blood,count_mass,I don't know/It's hard to say,32,피,0.21875
Blood,solidity,I don't know/It's hard to say,33,피,0.21212121212121213
Blood,solidity,Not a solid,33,피,0.6666666666666666
Blood,solidity,Solid,33,피,0.12121212121212122
Boat,category_organization,Form,28,배,0.6428571428571429
Boat,category_organization,"Form, Color, Material",28,배,0.03571428571428571
Boat,category_organization,"Form, Material",28,배,0.25
Boat,category_organization,Material,28,배,0.07142857142857142
Boat,count_mass,Can be counted,30,배,0.9333333333333333
Boat,count_mass,I don't know/It's hard to say,30,배,0.06666666666666667
Boat,solidity,I don't know/It's hard to say,30,배,0.06666666666666667
Boat,solidity,Solid,30,배,0.9333333333333333
Body,category_organization,Form,29,몸,0.8620689655172413
Body,category_organization,"Form, Material",29,몸,0.10344827586206896
Body,category_organization,Material,29,몸,0.034482758620689655
Body,count_mass,Can be counted,35,몸,0.6
Body,count_mass,Cannot be counted,35,몸,0.02857142857142857
Body,count_mass,I don't know/It's hard to say,35,몸,0.37142857142857144
Body,solidity,I don't know/It's hard to say,36,몸,0.3611111111111111
Body,solidity,Not a solid,36,몸,0.08333333333333333
Body,solidity,Solid,36,몸,0.5555555555555556
Book,category_organization,Form,29,책,0.4827586206896552
Book,category_organization,"Form, Color, Material",29,책,0.10344827586206896
Book,category_organization,"Form, Material",29,책,0.3103448275862069
Book,category_organization,Material,29,책,0.06896551724137931
Book,category_organization,Not applicable,29,책,0.034482758620689655
Book,count_mass,Can be counted,30,책,0.9333333333333333
Book,count_mass,I don't know/It's hard to say,30,책,0.06666666666666667
Book,solidity,I don't know/It's hard to say,30,책,0.06666666666666667
Book,solidity,Solid,30,책,0.9333333333333333
