uni_lemma,response_norm,block,eng1,eng2,kor1,kor2
hanger,solid,solidity,1,NA,1,NA
hat,count,count_mass,1,NA,1,0.935483870967742
hat,solid,solidity,0.8888888888888888,NA,0.7142857142857143,0.896551724137931
head,count,count_mass,0.8571428571428571,NA,0.875,0.8235294117647058
head,solid,solidity,1,NA,0.8888888888888888,0.7
helicopter,solid,solidity,1,NA,1,NA
helicopter,count,count_mass,1,NA,1,NA
hip,count,count_mass,0.7142857142857143,NA,0.9,NA
hip,solid,solidity,1,NA,0.8333333333333334,NA
hippopotamus,count,count_mass,0.75,NA,0.6666666666666666,0.7777777777777778
hippopotamus,solid,solidity,0.6666666666666666,NA,0.8461538461538461,0.6333333333333333
horse,count,count_mass,0.875,NA,0.5,0.8055555555555556
horse,solid,solidity,0.875,NA,1,0.6551724137931034
hot dog,count,count_mass,1,NA,0.9,0.8529411764705882
hot dog,solid,solidity,0.875,NA,1,0.7241379310344828
ice,count,count_mass,0.18181818181818185,NA,0.5,0.5757575757575758
ice,solid,solidity,0.7777777777777778,NA,0.6,0.5588235294117647
ice cream,count,count_mass,0.5,NA,0.8571428571428571,0.6
jacket,count,count_mass,0.8,NA,1,0.90625
jacket,solid,solidity,0.7142857142857143,NA,0.7777777777777778,0.8620689655172413
key,count,count_mass,1,NA,1,0.9666666666666668
key,solid,solidity,1,NA,1,0.9655172413793104
kimchi,solid,solidity,0.7142857142857143,NA,0.8333333333333334,0.5588235294117647
kimchi,count,count_mass,0.125,NA,0.4,0.5833333333333334
kitchen,solid,solidity,0.8,NA,1,0.5625
kitchen,count,count_mass,0.5833333333333334,NA,0.7142857142857143,0.5945945945945946
knee,solid,solidity,1,NA,0.8,0.6
knee,count,count_mass,0.8,NA,1,0.7297297297297297
knife,count,count_mass,0.8333333333333334,NA,1,0.9666666666666668
knife,solid,solidity,1,NA,1,0.9655172413793104
ladder,count,count_mass,0.8,NA,1,0.9642857142857144
ladder,solid,solidity,1,NA,0.5,0.9655172413793104
leg,count,count_mass,1,NA,0.8888888888888888,0.7941176470588235
leg,solid,solidity,0.8333333333333334,NA,1,0.7
lion,count,count_mass,1,NA,1,0.8055555555555556
lion,solid,solidity,0.9230769230769232,NA,0.875,0.6551724137931034
lip,solid,solidity,0.5714285714285714,NA,0.7142857142857143,NA
lip,count,count_mass,1,NA,0.8888888888888888,NA
meat,count,count_mass,0.14285714285714285,NA,0.5,0.53125
meat,solid,solidity,0.7142857142857143,NA,1,0.5833333333333334
medicine,count,count_mass,0.16666666666666666,NA,0.875,0.5348837209302325
medicine,solid,solidity,0.2857142857142857,NA,0.6,0.3870967741935484
melon,solid,solidity,0.8571428571428571,NA,1,0.8275862068965517
melon,count,count_mass,0.6666666666666666,NA,1,0.90625
microwave,solid,solidity,1,NA,1,0.9655172413793104
microwave,count,count_mass,0.625,NA,0.7777777777777778,0.9666666666666668
money,solid,solidity,0.8,NA,0.75,0.696969696969697
money,count,count_mass,0.5714285714285714,NA,1,0.696969696969697
monkey,count,count_mass,0.8333333333333334,NA,1,0.8055555555555556
monkey,solid,solidity,1,NA,0.6363636363636364,0.6551724137931034
moon,count,count_mass,0.7142857142857143,NA,1,0.7428571428571429
moon,solid,solidity,1,NA,0.875,0.6551724137931034
motorcycle,solid,solidity,1,NA,1,0.9333333333333332
motorcycle,count,count_mass,0.8571428571428571,NA,1,0.9333333333333332
mouse,count,count_mass,0.8571428571428571,NA,1,0.7777777777777778
mouse,solid,solidity,0.875,NA,0.75,0.6551724137931034
mouth,count,count_mass,0.6,NA,1,0.7027027027027027
nail (object),count,count_mass,0.75,NA,1,NA
