uni_lemma,response_norm,block,proportion,sample
pizza,count,count_mass,0.7,eng1
pizza,solid,solidity,0.8571428571428571,eng1
plate,shape,category_organization,0.6666666666666666,eng1
plate,count,count_mass,1,eng1
plate,solid,solidity,1,eng1
pocket,shape,category_organization,0.3333333333333333,eng1
pocket,count,count_mass,0.5,eng1
potato,count,count_mass,0.8571428571428571,eng1
potato,solid,solidity,1,eng1
present,count,count_mass,0.75,eng1
present,solid,solidity,0.4,eng1
pumpkin,shape,category_organization,0.18181818181818185,eng1
pumpkin,count,count_mass,0.8571428571428571,eng1
pumpkin,solid,solidity,0.9,eng1
radio,count,count_mass,0.3333333333333333,eng1
radio,solid,solidity,1,eng1
radish,shape,category_organization,0.15217391304347827,eng1
radish,count,count_mass,0.8571428571428571,eng1
radish,solid,solidity,0.6666666666666666,eng1
rag,shape,category_organization,0.08333333333333333,eng1
rag,count,count_mass,0.7777777777777778,eng1
rag,solid,solidity,1,eng1
refrigerator,shape,category_organization,0.3,eng1
refrigerator,count,count_mass,0.6666666666666666,eng1
refrigerator,solid,solidity,1,eng1
rice,shape,category_organization,0.5,eng1
rice,count,count_mass,0.3333333333333333,eng1
rice,solid,solidity,0.4,eng1
rice cake,shape,category_organization,0.25,eng1
rice cake,count,count_mass,1,eng1
rice cake,solid,solidity,0.8,eng1
robot,shape,category_organization,0.3333333333333333,eng1
robot,count,count_mass,1,eng1
robot,solid,solidity,0.8571428571428571,eng1
roof,shape,category_organization,0.375,eng1
roof,count,count_mass,0.5,eng1
roof,solid,solidity,0.5,eng1
room,shape,category_organization,0.6666666666666666,eng1
room,count,count_mass,0.625,eng1
room,solid,solidity,0.5,eng1
salt,solid,solidity,0.2857142857142857,eng1
scarf,shape,category_organization,0.2,eng1
scarf,count,count_mass,0.5,eng1
scarf,solid,solidity,0.625,eng1
scissors,shape,category_organization,0.5454545454545454,eng1
scissors,count,count_mass,0.8333333333333334,eng1
scissors,solid,solidity,1,eng1
seesaw,shape,category_organization,0.2222222222222222,eng1
seesaw,count,count_mass,0.8,eng1
seesaw,solid,solidity,0.8571428571428571,eng1
sheep,shape,category_organization,0.25,eng1
sheep,count,count_mass,0.6666666666666666,eng1
sheep,solid,solidity,1,eng1
shoe,shape,category_organization,0.6,eng1
shoe,count,count_mass,1,eng1
shoe,solid,solidity,1,eng1
shoulder,shape,category_organization,0.3,eng1
shoulder,count,count_mass,0.8333333333333334,eng1
shoulder,solid,solidity,1,eng1
skirt,shape,category_organization,0.125,eng1
skirt,count,count_mass,1,eng1
skirt,solid,solidity,0.7,eng1
sky,count,count_mass,0.16666666666666666,eng1
sled,shape,category_organization,0.4166666666666667,eng1
sled,count,count_mass,1,eng1
sled,solid,solidity,1,eng1
slide (object),shape,category_organization,0.75,eng1
slide (object),count,count_mass,0.5,eng1
slide (object),solid,solidity,0.875,eng1
snake,shape,category_organization,0.6,eng1
snake,count,count_mass,0.8333333333333334,eng1
snake,solid,solidity,0.8333333333333334,eng1
sneaker,shape,category_organization,0.5,eng1
sneaker,count,count_mass,1,eng1
sneaker,solid,solidity,1,eng1
snow,count,count_mass,0.2,eng1
snowman,shape,category_organization,0.4,eng1
snowman,count,count_mass,0.4444444444444444,eng1
snowman,solid,solidity,0.3333333333333333,eng1
soap,shape,category_organization,0.06666666666666667,eng1
soap,count,count_mass,0.3333333333333333,eng1
soap,solid,solidity,0.6666666666666666,eng1
sock,shape,category_organization,0.375,eng1
sock,count,count_mass,0.8888888888888888,eng1
sock,solid,solidity,0.75,eng1
soda,count,count_mass,0.1111111111111111,eng1
soda,solid,solidity,0.16666666666666666,eng1
soil,count,count_mass,0.3333333333333333,eng1
soil,solid,solidity,0.4444444444444444,eng1
soup,count,count_mass,0.25,eng1
spaghetti,shape,category_organization,0.2222222222222222,eng1
spaghetti,count,count_mass,0.5,eng1
spaghetti,solid,solidity,0.5,eng1
sparrow,shape,category_organization,0.2727272727272727,eng1
sparrow,count,count_mass,0.75,eng1
sparrow,solid,solidity,0.75,eng1
spoon,shape,category_organization,0.7777777777777778,eng1
spoon,count,count_mass,1,eng1
spoon,solid,solidity,1,eng1
squirrel,shape,category_organization,0.625,eng1
squirrel,count,count_mass,0.875,eng1
squirrel,solid,solidity,0.8333333333333334,eng1
stairs,shape,category_organization,0.4,eng1
stairs,count,count_mass,0.42857142857142855,eng1
stairs,solid,solidity,1,eng1
star,shape,category_organization,0.8,eng1
star,count,count_mass,0.3333333333333333,eng1
stone,shape,category_organization,0.1111111111111111,eng1
stone,count,count_mass,0.75,eng1
stone,solid,solidity,1,eng1
strawberry,shape,category_organization,0.2,eng1
strawberry,count,count_mass,1,eng1
strawberry,solid,solidity,0.7857142857142857,eng1
street,shape,category_organization,0.09090909090909093,eng1
street,count,count_mass,0.6666666666666666,eng1
street,solid,solidity,0.42857142857142855,eng1
stroller,shape,category_organization,0.6666666666666666,eng1
stroller,count,count_mass,0.8333333333333334,eng1
stroller,solid,solidity,1,eng1
sugar,count,count_mass,0.16666666666666666,eng1
sugar,solid,solidity,0.14285714285714285,eng1
sun,shape,category_organization,0.2222222222222222,eng1
sun,count,count_mass,0.16666666666666666,eng1
sweet potato,shape,category_organization,0.25,eng1
sweet potato,count,count_mass,1,eng1
sweet potato,solid,solidity,1,eng1
swing (object),shape,category_organization,0.625,eng1
swing (object),count,count_mass,0.8333333333333334,eng1
swing (object),solid,solidity,0.8571428571428571,eng1
tangerine,shape,category_organization,0.14285714285714285,eng1
tangerine,count,count_mass,0.75,eng1
tangerine,solid,solidity,1,eng1
taxi,shape,category_organization,0.3636363636363637,eng1
taxi,count,count_mass,0.3333333333333333,eng1
taxi,solid,solidity,0.8,eng1
telephone,shape,category_organization,0.375,eng1
telephone,count,count_mass,0.8,eng1
telephone,solid,solidity,1,eng1
tiger,shape,category_organization,0.4444444444444444,eng1
tiger,count,count_mass,0.8,eng1
tiger,solid,solidity,1,eng1
tissue,count,count_mass,0.5714285714285714,eng1
tissue,solid,solidity,0.5,eng1
tomato,shape,category_organization,0.2,eng1
tomato,count,count_mass,0.8333333333333334,eng1
tomato,solid,solidity,0.8888888888888888,eng1
tongue,shape,category_organization,0.2222222222222222,eng1
tongue,count,count_mass,0.8571428571428571,eng1
tongue,solid,solidity,0.6666666666666666,eng1
tooth,shape,category_organization,0.3,eng1
tooth,count,count_mass,0.75,eng1
tooth,solid,solidity,1,eng1
toothbrush,shape,category_organization,0.5555555555555556,eng1
toothbrush,count,count_mass,0.9,eng1
toothbrush,solid,solidity,1,eng1
toothpaste,shape,category_organization,0.09090909090909093,eng1
toothpaste,count,count_mass,0.3333333333333333,eng1
towel,shape,category_organization,0.09090909090909093,eng1
towel,count,count_mass,0.8888888888888888,eng1
towel,solid,solidity,0.6666666666666666,eng1
toy (object),shape,category_organization,0.2222222222222222,eng1
toy (object),count,count_mass,0.8333333333333334,eng1
toy (object),solid,solidity,1,eng1
train,shape,category_organization,0.3333333333333333,eng1
train,solid,solidity,1,eng1
trash,count,count_mass,0.16666666666666666,eng1
trash,solid,solidity,0.2857142857142857,eng1
trash can,count,count_mass,0.8333333333333334,eng1
trash can,solid,solidity,1,eng1
tray,shape,category_organization,0.4615384615384616,eng1
tray,count,count_mass,1,eng1
tray,solid,solidity,0.8,eng1
tree,shape,category_organization,0.3,eng1
tree,count,count_mass,0.875,eng1
tree,solid,solidity,1,eng1
truck,shape,category_organization,0.375,eng1
truck,count,count_mass,0.875,eng1
truck,solid,solidity,1,eng1
tummy,shape,category_organization,0.2222222222222222,eng1
tummy,count,count_mass,0.42857142857142855,eng1
tummy,solid,solidity,0.5,eng1
turtle,shape,category_organization,0.4166666666666667,eng1
turtle,count,count_mass,0.8333333333333334,eng1
turtle,solid,solidity,1,eng1
tv,shape,category_organization,0.4444444444444444,eng1
tv,count,count_mass,0.8571428571428571,eng1
tv,solid,solidity,1,eng1
umbrella,shape,category_organization,0.7777777777777778,eng1
umbrella,count,count_mass,0.8333333333333334,eng1
umbrella,solid,solidity,1,eng1
underpants,shape,category_organization,0.125,eng1
underpants,count,count_mass,0.6666666666666666,eng1
underpants,solid,solidity,0.4,eng1
vacuum,shape,category_organization,0.125,eng1
vacuum,count,count_mass,0.8571428571428571,eng1
vacuum,solid,solidity,0.42857142857142855,eng1
waist,shape,category_organization,0.5555555555555556,eng1
waist,count,count_mass,0.4444444444444444,eng1
waist,solid,solidity,0.5,eng1
wallet,shape,category_organization,0.1111111111111111,eng1
wallet,count,count_mass,0.7142857142857143,eng1
wallet,solid,solidity,1,eng1
washing machine,shape,category_organization,0.375,eng1
washing machine,count,count_mass,1,eng1
washing machine,solid,solidity,1,eng1
