Word,block,response,totcount,theword,proportion,uni_lemma,language,eng_response,matching_response,cleaned_response
Block,category_organization,Not applicable,29,블럭,0.03448275862068965,Block,Korean,Not applicable,none of these,not applicable
Block,count_mass,Can be counted,29,블럭,0.8275862068965517,Block,Korean,Can be counted,count,can be counted
Block,count_mass,Cannot be counted,29,블럭,0.06896551724137931,Block,Korean,Cannot be counted,mass,cannot be counted
Block,count_mass,I don't know/It's hard to say,29,블럭,0.10344827586206896,Block,Korean,I don't know/It's hard to say,unknown,i dont knowits hard to say
Block,solidity,I don't know/It's hard to say,29,블럭,0.034482758620689655,Block,Korean,I don't know/It's hard to say,unknown,i dont knowits hard to say
Block,solidity,Solid,29,블럭,0.9655172413793104,Block,Korean,Solid,solid,solid
Blood,category_organization,"Color, Material",29,피,0.27586206896551724,Blood,Korean,"Color, Material",multiple,color material
Blood,category_organization,Form,29,피,0.3448275862068966,Blood,Korean,Form,shape,form
Blood,category_organization,"Form, Color",29,피,0.03448275862068965,Blood,Korean,"Form, Color",multiple,form color
Blood,category_organization,"Form, Color, Material",29,피,0.13793103448275862,Blood,Korean,"Form, Color, Material",multiple,form color material
Blood,category_organization,"Form, Color, Material, Not applicable",29,피,0.03448275862068965,Blood,Korean,"Form, Color, Material, Not applicable",multiple,form color material not applicable
Blood,category_organization,"Form, Material",29,피,0.06896551724137931,Blood,Korean,"Form, Material",multiple,form material
Blood,category_organization,Material,29,피,0.10344827586206896,Blood,Korean,Material,material,material
Blood,count_mass,Can be counted,29,피,0.27586206896551724,Blood,Korean,Can be counted,count,can be counted
Blood,count_mass,Cannot be counted,29,피,0.5862068965517241,Blood,Korean,Cannot be counted,mass,cannot be counted
Blood,count_mass,I don't know/It's hard to say,29,피,0.13793103448275862,Blood,Korean,I don't know/It's hard to say,unknown,i dont knowits hard to say
Blood,solidity,I don't know/It's hard to say,29,피,0.10344827586206896,Blood,Korean,I don't know/It's hard to say,unknown,i dont knowits hard to say
Blood,solidity,Not a solid,29,피,0.7586206896551724,Blood,Korean,Not a solid,non-solid,not a solid
Blood,solidity,Solid,29,피,0.13793103448275862,Blood,Korean,Solid,solid,solid
Boat,category_organization,Form,28,배,0.6428571428571429,Boat,Korean,Form,shape,form
Boat,category_organization,"Form, Color, Material",28,배,0.03571428571428571,Boat,Korean,"Form, Color, Material",multiple,form color material
Boat,category_organization,"Form, Material",28,배,0.25,Boat,Korean,"Form, Material",multiple,form material
Boat,category_organization,Material,28,배,0.07142857142857142,Boat,Korean,Material,material,material
Boat,count_mass,Can be counted,29,배,0.9655172413793104,Boat,Korean,Can be counted,count,can be counted
Boat,count_mass,I don't know/It's hard to say,29,배,0.034482758620689655,Boat,Korean,I don't know/It's hard to say,unknown,i dont knowits hard to say
Boat,solidity,I don't know/It's hard to say,29,배,0.034482758620689655,Boat,Korean,I don't know/It's hard to say,unknown,i dont knowits hard to say
Boat,solidity,Solid,29,배,0.9655172413793104,Boat,Korean,Solid,solid,solid
Body,category_organization,Form,29,몸,0.8620689655172413,Body,Korean,Form,shape,form
Body,category_organization,"Form, Material",29,몸,0.10344827586206896,Body,Korean,"Form, Material",multiple,form material
