word,_id,rt,trial_type,trial_index,time_elapsed,internal_node_id,subject,study_id,session_id,__v,response,theword,block,uni_lemma,response_numeric,totcount,count,.groups,shape_rating,language,eng_response
duck,67dfb5a1aac2aea29b2883f6,5547,survey-multi-choice,35,195082,0,5d6d729b679b200019c12498,67ddb44d013654f31f2c3dff,67dfb4c567ae66f6f4102823,0,shape,duck,category_organization,duck,0,16,4,drop,0.25,Mandarin (Taiwanese),shape
duck,67dfb5a1aac2aea29b2883f6,5547,survey-multi-choice,35,195082,0,5d6d729b679b200019c12498,67ddb44d013654f31f2c3dff,67dfb4c567ae66f6f4102823,0,shape,duck,category_organization,duck,0,16,4,drop,0.25,Japanese,shape
duck,67dfb5a1aac2aea29b2883f6,5547,survey-multi-choice,35,195082,0,5d6d729b679b200019c12498,67ddb44d013654f31f2c3dff,67dfb4c567ae66f6f4102823,0,shape,duck,category_organization,duck,0,16,4,drop,0.25,Korean,shape
duck,67dfb5a1aac2aea29b2883f6,5547,survey-multi-choice,35,195082,0,5d6d729b679b200019c12498,67ddb44d013654f31f2c3dff,67dfb4c567ae66f6f4102823,0,shape,duck,category_organization,duck,0,16,4,drop,0.25,Russian,shape
duck,67dfb5a1aac2aea29b2883f6,5547,survey-multi-choice,35,195082,0,5d6d729b679b200019c12498,67ddb44d013654f31f2c3dff,67dfb4c567ae66f6f4102823,0,shape,duck,category_organization,duck,0,16,4,drop,0.25,Spanish (Mexican),shape
duck,67dfb5a1aac2aea29b2883f6,5547,survey-multi-choice,35,195082,0,5d6d729b679b200019c12498,67ddb44d013654f31f2c3dff,67dfb4c567ae66f6f4102823,0,shape,duck,category_organization,duck,0,16,4,drop,0.25,Mandarin (Beijing),shape
duck,67dfb5a1aac2aea29b2883f6,5547,survey-multi-choice,35,195082,0,5d6d729b679b200019c12498,67ddb44d013654f31f2c3dff,67dfb4c567ae66f6f4102823,0,shape,duck,category_organization,duck,0,16,4,drop,0.25,Turkish,shape
duck,67dfb5a1aac2aea29b2883f6,5547,survey-multi-choice,35,195082,0,5d6d729b679b200019c12498,67ddb44d013654f31f2c3dff,67dfb4c567ae66f6f4102823,0,shape,duck,category_organization,duck,0,16,4,drop,0.25,English (American),shape
duck,67dfb5a1aac2aea29b2883f6,5547,survey-multi-choice,35,195082,0,5d6d729b679b200019c12498,67ddb44d013654f31f2c3dff,67dfb4c567ae66f6f4102823,0,shape,duck,category_organization,duck,0,16,4,drop,0.25,Cantonese,shape
duck,67dfb5a1aac2aea29b2883f6,5547,survey-multi-choice,35,195082,0,5d6d729b679b200019c12498,67ddb44d013654f31f2c3dff,67dfb4c567ae66f6f4102823,0,shape,duck,category_organization,duck,0,16,4,drop,0.25,Catalan,shape
duck,67dfb5a1aac2aea29b2883f6,5547,survey-multi-choice,35,195082,0,5d6d729b679b200019c12498,67ddb44d013654f31f2c3dff,67dfb4c567ae66f6f4102823,0,shape,duck,category_organization,duck,0,16,4,drop,0.25,English (Australian),shape
duck,67dfb5a1aac2aea29b2883f6,5547,survey-multi-choice,35,195082,0,5d6d729b679b200019c12498,67ddb44d013654f31f2c3dff,67dfb4c567ae66f6f4102823,0,shape,duck,category_organization,duck,0,16,4,drop,0.25,Spanish (European),shape
duck,683780e0d6dd8f0d159996c9,8908,survey-multi-choice,27,328316,0,682cd7ddbce7809b1d8fedc1,68377e39bf75633ec3225648,68377f189445ce54a7e666a8,0,shape,duck,category_organization,duck,0,16,4,drop,0.25,French (French),shape
duck,683780e0d6dd8f0d159996c9,8908,survey-multi-choice,27,328316,0,682cd7ddbce7809b1d8fedc1,68377e39bf75633ec3225648,68377f189445ce54a7e666a8,0,shape,duck,category_organization,duck,0,16,4,drop,0.25,Mandarin (Taiwanese),shape
duck,683780e0d6dd8f0d159996c9,8908,survey-multi-choice,27,328316,0,682cd7ddbce7809b1d8fedc1,68377e39bf75633ec3225648,68377f189445ce54a7e666a8,0,shape,duck,category_organization,duck,0,16,4,drop,0.25,Japanese,shape
duck,683780e0d6dd8f0d159996c9,8908,survey-multi-choice,27,328316,0,682cd7ddbce7809b1d8fedc1,68377e39bf75633ec3225648,68377f189445ce54a7e666a8,0,shape,duck,category_organization,duck,0,16,4,drop,0.25,Korean,shape
duck,683780e0d6dd8f0d159996c9,8908,survey-multi-choice,27,328316,0,682cd7ddbce7809b1d8fedc1,68377e39bf75633ec3225648,68377f189445ce54a7e666a8,0,shape,duck,category_organization,duck,0,16,4,drop,0.25,Russian,shape
duck,683780e0d6dd8f0d159996c9,8908,survey-multi-choice,27,328316,0,682cd7ddbce7809b1d8fedc1,68377e39bf75633ec3225648,68377f189445ce54a7e666a8,0,shape,duck,category_organization,duck,0,16,4,drop,0.25,Spanish (Mexican),shape
duck,683780e0d6dd8f0d159996c9,8908,survey-multi-choice,27,328316,0,682cd7ddbce7809b1d8fedc1,68377e39bf75633ec3225648,68377f189445ce54a7e666a8,0,shape,duck,category_organization,duck,0,16,4,drop,0.25,Mandarin (Beijing),shape
duck,683780e0d6dd8f0d159996c9,8908,survey-multi-choice,27,328316,0,682cd7ddbce7809b1d8fedc1,68377e39bf75633ec3225648,68377f189445ce54a7e666a8,0,shape,duck,category_organization,duck,0,16,4,drop,0.25,Turkish,shape
duck,683780e0d6dd8f0d159996c9,8908,survey-multi-choice,27,328316,0,682cd7ddbce7809b1d8fedc1,68377e39bf75633ec3225648,68377f189445ce54a7e666a8,0,shape,duck,category_organization,duck,0,16,4,drop,0.25,English (American),shape
duck,683780e0d6dd8f0d159996c9,8908,survey-multi-choice,27,328316,0,682cd7ddbce7809b1d8fedc1,68377e39bf75633ec3225648,68377f189445ce54a7e666a8,0,shape,duck,category_organization,duck,0,16,4,drop,0.25,Cantonese,shape
duck,683780e0d6dd8f0d159996c9,8908,survey-multi-choice,27,328316,0,682cd7ddbce7809b1d8fedc1,68377e39bf75633ec3225648,68377f189445ce54a7e666a8,0,shape,duck,category_organization,duck,0,16,4,drop,0.25,Catalan,shape
duck,683780e0d6dd8f0d159996c9,8908,survey-multi-choice,27,328316,0,682cd7ddbce7809b1d8fedc1,68377e39bf75633ec3225648,68377f189445ce54a7e666a8,0,shape,duck,category_organization,duck,0,16,4,drop,0.25,English (Australian),shape
duck,683780e0d6dd8f0d159996c9,8908,survey-multi-choice,27,328316,0,682cd7ddbce7809b1d8fedc1,68377e39bf75633ec3225648,68377f189445ce54a7e666a8,0,shape,duck,category_organization,duck,0,16,4,drop,0.25,Spanish (European),shape
dumpling,67dfbbd7aac2aea29b288ff8,5699,survey-multi-choice,31,348883,0,5cfbf333ac28dd00196e807b,67ddb44d013654f31f2c3dff,67dfba378d1f32c884763bf7,0,shape,dumpling,category_organization,dumpling,0,7,2,drop,0.2857142857142857,Mandarin (Beijing),shape
dumpling,67dfbbd7aac2aea29b288ff8,5699,survey-multi-choice,31,348883,0,5cfbf333ac28dd00196e807b,67ddb44d013654f31f2c3dff,67dfba378d1f32c884763bf7,0,shape,dumpling,category_organization,dumpling,0,7,2,drop,0.2857142857142857,Mandarin (Taiwanese),shape
dumpling,67dfbbd7aac2aea29b288ff8,5699,survey-multi-choice,31,348883,0,5cfbf333ac28dd00196e807b,67ddb44d013654f31f2c3dff,67dfba378d1f32c884763bf7,0,shape,dumpling,category_organization,dumpling,0,7,2,drop,0.2857142857142857,Mandarin (Beijing),shape
dumpling,6885ad79db21504418af733e,26739,survey-multi-choice,27,422770,0,6677cdf243dea20a0ac40f9f,68377e39bf75633ec3225648,6885ab61c95f4d5c36ca2306,0,shape,dumpling,category_organization,dumpling,0,7,2,drop,0.2857142857142857,Mandarin (Beijing),shape
dumpling,6885ad79db21504418af733e,26739,survey-multi-choice,27,422770,0,6677cdf243dea20a0ac40f9f,68377e39bf75633ec3225648,6885ab61c95f4d5c36ca2306,0,shape,dumpling,category_organization,dumpling,0,7,2,drop,0.2857142857142857,Mandarin (Taiwanese),shape
dumpling,6885ad79db21504418af733e,26739,survey-multi-choice,27,422770,0,6677cdf243dea20a0ac40f9f,68377e39bf75633ec3225648,6885ab61c95f4d5c36ca2306,0,shape,dumpling,category_organization,dumpling,0,7,2,drop,0.2857142857142857,Mandarin (Beijing),shape
dustpan,6837834bd6dd8f0d15999a4d,11415,survey-multi-choice,21,733640,0,6835dc083f77b99de6ce6c63,68377e39bf75633ec3225648,68377fb1c47ac43c8ae3c023,0,shape,dustpan,category_organization,dustpan,0,8,7,drop,0.875,Mandarin (Beijing),shape
