subject,response_format,word_order,condition_code,n_cat_trials,median_rt_ms,mean_rt_ms,min_rt_ms,frac_under_1s,lavender_trials,att_pass,flag_explicit_id,flag_no_attention,flag_fast,reject_reasons,decision
P1797,forced_choice,random,fc_random,20,6410,6640,2624,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1798,forced_choice,semantic_blocked,fc_blocked,20,2672.5,3764,1625,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1799,multi_select,semantic_blocked,ms_blocked,20,2791,3404,1745,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1801,forced_choice,semantic_blocked,fc_blocked,20,4330,5217,1982,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1802,forced_choice,random,fc_random,20,3870.5,5440,1898,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1803,forced_choice,random,fc_random,20,5116,6045,2515,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1804,multi_select,random,ms_random,20,6926.5,16664,3411,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1806,multi_select,random,ms_random,20,7265,8126,2396,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1809,multi_select,random,ms_random,20,10190,10279,4421,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1810,multi_select,random,ms_random,20,3792.5,4864,1877,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1811,forced_choice,semantic_blocked,fc_blocked,20,5042,6488,3848,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1812,forced_choice,random,fc_random,20,14004.5,15314,6786,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1814,multi_select,random,ms_random,20,4482.5,8642,3103,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1815,forced_choice,semantic_blocked,fc_blocked,20,2827,3460,1419,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1816,multi_select,random,ms_random,20,4554.5,5541,2902,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1817,multi_select,semantic_blocked,ms_blocked,20,4662.5,5247,3094,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1819,multi_select,random,ms_random,20,4465.5,12416,2739,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1824,multi_select,semantic_blocked,ms_blocked,20,11061,11748,5282,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1825,forced_choice,random,fc_random,13,3785,5362,2237,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1826,forced_choice,random,fc_random,20,3330,4307,1976,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1827,forced_choice,semantic_blocked,fc_blocked,20,4315,5201,2437,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1828,multi_select,random,ms_random,20,4867.5,7377,2462,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1831,multi_select,random,ms_random,20,5437,5891,3544,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1833,multi_select,semantic_blocked,ms_blocked,20,3845.5,3864,2070,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1835,multi_select,random,ms_random,20,3614,4467,1949,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1836,forced_choice,random,fc_random,20,2794,3252,1626,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1844,forced_choice,semantic_blocked,fc_blocked,20,4808,5311,2464,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1845,forced_choice,semantic_blocked,fc_blocked,20,4931,8768,2399,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1847,forced_choice,semantic_blocked,fc_blocked,20,3004.5,3676,1927,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1849,multi_select,random,ms_random,20,7221,7331,3045,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
P1851,forced_choice,random,fc_random,20,4226,5504,1753,0,1,TRUE,FALSE,FALSE,FALSE,,PAY
