_id,rt,trial_type,trial_index,time_elapsed,internal_node_id,__v,response,theword,block,subject,study_id,session_id,uni_lemma,word,response_numeric,totcount
683a48d29a4a688b481a14c9,9731,survey-multi-choice,12,116572,0,0,none of these,radish,category_organization,NA,NA,NA,radish,radish,3,46
683a48d29a4a688b481a14cb,3170,survey-multi-choice,13,119746,0,0,none of these,steak,category_organization,NA,NA,NA,steak,steak,3,47
683a48d99a4a688b481a14d7,7393,survey-multi-choice,4,83550,0,0,none of these,peach,category_organization,NA,NA,NA,peach,peach,3,10
683a48d99a4a688b481a14d9,9157,survey-multi-choice,5,92713,0,0,material,watermelon,category_organization,NA,NA,NA,watermelon,watermelon,1,10
683a48d99a4a688b481a14dd,6350,survey-multi-choice,6,99064,0,0,material,ribbon,category_organization,NA,NA,NA,ribbon,ribbon,1,10
683a48d99a4a688b481a14df,5340,survey-multi-choice,8,108863,0,0,shape,mountain,category_organization,NA,NA,NA,mountain,mountain,0,10
683a48d99a4a688b481a14e1,7352,survey-multi-choice,10,120927,0,0,shape,fly (animal),category_organization,NA,NA,NA,fly (animal),fly (animal),0,15
683a48d99a4a688b481a14e3,4454,survey-multi-choice,7,103520,0,0,material,iron (object),category_organization,NA,NA,NA,iron (object),iron (object),1,11
683a48d99a4a688b481a14e5,4707,survey-multi-choice,9,113573,0,0,material,soap,category_organization,NA,NA,NA,soap,soap,1,15
683a48d99a4a688b481a14e7,7443,survey-multi-choice,11,128373,0,0,material,snow,category_organization,NA,NA,NA,snow,snow,1,13
683a48d99a4a688b481a14e9,4335,survey-multi-choice,12,132710,0,0,shape,pony,category_organization,NA,NA,NA,pony,pony,0,12
683a48d99a4a688b481a14eb,8554,survey-multi-choice,13,141266,0,0,material,tortilla,category_organization,NA,NA,NA,tortilla,tortilla,1,9
683a48d99a4a688b481a14ed,3165,survey-multi-choice,15,146925,0,0,material,remote control,category_organization,NA,NA,NA,remote control,remote control,1,6
683a48d99a4a688b481a14ef,2489,survey-multi-choice,14,143758,0,0,material,shampoo,category_organization,NA,NA,NA,shampoo,shampoo,1,11
683a48d99a4a688b481a14f1,7771,survey-multi-choice,16,154698,0,0,material,turtle,category_organization,NA,NA,NA,turtle,turtle,1,12
683a48d99a4a688b481a14f3,3181,survey-multi-choice,17,157882,0,0,shape,pipe,category_organization,NA,NA,NA,pipe,pipe,0,12
683a48da9a4a688b481a14f5,5459,survey-multi-choice,18,163344,0,0,shape,refrigerator,category_organization,NA,NA,NA,refrigerator,refrigerator,0,10
683a48da9a4a688b481a14f7,3375,survey-multi-choice,21,176396,0,0,material,glue (object),category_organization,NA,NA,NA,glue (object),glue (object),1,10
683a48da9a4a688b481a14f9,6139,survey-multi-choice,20,173019,0,0,color,lion,category_organization,NA,NA,NA,lion,lion,2,9
683a48da9a4a688b481a14fb,3532,survey-multi-choice,19,166878,0,0,material,grapes,category_organization,NA,NA,NA,grapes,grapes,1,12
683a48da9a4a688b481a14fd,3584,survey-multi-choice,22,179982,0,0,none of these,persimmon,category_organization,NA,NA,NA,persimmon,persimmon,3,8
683a48da9a4a688b481a14ff,5019,survey-multi-choice,23,185004,0,0,material,sneaker,category_organization,NA,NA,NA,sneaker,sneaker,1,8
683a48db9a4a688b481a1515,11664,survey-multi-choice,4,44569,0,0,shape,pill,category_organization,NA,NA,NA,pill,pill,0,8
683a48db9a4a688b481a1517,5047,survey-multi-choice,5,49617,0,0,material,handkerchief,category_organization,NA,NA,NA,handkerchief,handkerchief,1,8
683a48db9a4a688b481a1519,14925,survey-multi-choice,4,92233,0,0,material,bush,category_organization,NA,NA,NA,bush,bush,1,49
683a48db9a4a688b481a151b,10264,survey-multi-choice,5,102501,0,0,material,steak,category_organization,NA,NA,NA,steak,steak,1,47
683a48db9a4a688b481a151d,7722,survey-multi-choice,6,110227,0,0,shape,closet,category_organization,NA,NA,NA,closet,closet,0,45
683a48db9a4a688b481a151f,4834,survey-multi-choice,6,54452,0,0,none of these,car,category_organization,NA,NA,NA,car,car,3,16
683a48db9a4a688b481a1521,2638,survey-multi-choice,7,57091,0,0,none of these,fox,category_organization,NA,NA,NA,fox,fox,3,9
683a48db9a4a688b481a1523,2386,survey-multi-choice,8,59478,0,0,material,wood,category_organization,NA,NA,NA,wood,wood,1,11
683a48db9a4a688b481a1525,4846,survey-multi-choice,9,64325,0,0,none of these,skirt,category_organization,NA,NA,NA,skirt,skirt,3,8
683a48db9a4a688b481a1527,6295,survey-multi-choice,7,116525,0,0,shape,finger,category_organization,NA,NA,NA,finger,finger,0,47
683a48db9a4a688b481a1529,5995,survey-multi-choice,8,122522,0,0,material,yogurt drink,category_organization,NA,NA,NA,yogurt drink,yogurt drink,1,48
683a48db9a4a688b481a152b,1630,survey-multi-choice,10,65956,0,0,none of these,goat,category_organization,NA,NA,NA,goat,goat,3,10
683a48db9a4a688b481a152d,4163,survey-multi-choice,11,70120,0,0,shape,chair,category_organization,NA,NA,NA,chair,chair,0,10
683a48db9a4a688b481a152f,6529,survey-multi-choice,9,129054,0,0,material,sponge,category_organization,NA,NA,NA,sponge,sponge,1,44
683a48db9a4a688b481a1531,3149,survey-multi-choice,12,73270,0,0,none of these,tiger,category_organization,NA,NA,NA,tiger,tiger,3,9
683a48db9a4a688b481a1533,8068,survey-multi-choice,10,137124,0,0,shape,pocket,category_organization,NA,NA,NA,pocket,pocket,0,45
683a48db9a4a688b481a1535,5121,survey-multi-choice,14,81085,0,0,material,paint (object),category_organization,NA,NA,NA,paint (object),paint (object),1,8
683a48db9a4a688b481a1537,2692,survey-multi-choice,13,75963,0,0,material,onion,category_organization,NA,NA,NA,onion,onion,1,8
683a48db9a4a688b481a1539,5178,survey-multi-choice,11,142305,0,0,material,radish,category_organization,NA,NA,NA,radish,radish,1,46
683a48db9a4a688b481a153b,10366,survey-multi-choice,12,152672,0,0,none of these,shovel,category_organization,NA,NA,NA,shovel,shovel,3,48
683a48db9a4a688b481a153d,2471,survey-multi-choice,15,83557,0,0,none of these,tights,category_organization,NA,NA,NA,tights,tights,3,9
683a48db9a4a688b481a153f,7440,survey-multi-choice,13,160114,0,0,none of these,puzzle,category_organization,NA,NA,NA,puzzle,puzzle,3,44
683a48db9a4a688b481a1543,3677,survey-multi-choice,16,87235,0,0,shape,lake,category_organization,NA,NA,NA,lake,lake,0,10
683a48db9a4a688b481a1545,2463,survey-multi-choice,17,89699,0,0,none of these,shoe,category_organization,NA,NA,NA,shoe,shoe,3,10
683a48db9a4a688b481a1547,2264,survey-multi-choice,18,91964,0,0,none of these,song,category_organization,NA,NA,NA,song,song,3,8
