uni_lemma,english_s1,english_s2,korean_s1,korean_s2,language,lexical_category,category,freq,concreteness,intercept,slope,aoa,logfreq
hip,0.5,0.5,0.25,0.8275862068965517,Korean,nouns,body_parts,-0.4399711543669233,0.0852258651751248,-7.135864304422813,0.3000089712827364,23.785503059832784,-0.4399711543669233
hippopotamus,0.5,0.4444444444444444,0.3333333333333333,0.7586206896551724,Korean,nouns,animals,0.07153760217390573,0.7957254284672582,-7.485514239644721,0.29986884209195425,24.96262761887513,0.07153760217390573
horse,0.4,0.42857142857142855,0.25,0.6551724137931034,Korean,nouns,animals,1.1607015801091622,0.8648017748984381,-7.104098451282441,0.29985703461816493,23.691618441864243,1.1607015801091622
hot dog,0.3,0.3636363636363637,0.5,0.5172413793103449,Korean,nouns,food_drink,0.9209480262850231,0.7365171315262474,-9.745881631984933,0.29977638261855594,32.51050515338919,0.9209480262850231
jacket,0.3636363636363637,0.18181818181818185,0.6,0.5862068965517241,Korean,nouns,clothing,-1.636613559684405,0.7266490820360791,-7.863942233978433,0.2995892729569452,26.249078134077855,-1.636613559684405
key,0.75,0.6,0.8333333333333334,0.5862068965517241,Korean,nouns,household,-1.3144011492986123,0.7562532305065841,-7.85672258784611,0.29989037123631623,26.19864904450348,-1.3144011492986123
knee,0.3,0.3333333333333333,0.2,0.8275862068965517,Korean,nouns,body_parts,-0.5424828796416631,0.8648017748984381,-8.071057576131107,0.299594174740474,26.939968319219588,-0.5424828796416631
knife,0.4,0.5384615384615384,0.6,0.6896551724137931,Korean,nouns,household,-0.4399711543669233,0.7661212799967533,-7.776403686300395,0.29997521846992076,25.923487033246897,-0.4399711543669233
ladder,0.75,0.4545454545454546,0.8,0.6551724137931034,Korean,nouns,outside,-0.0351103209294904,0.8648017748984381,-9.337806585893109,0.29978059447289085,31.148802684549764,-0.0351103209294904
leg,0.75,0.35294117647058826,0.7142857142857143,0.8275862068965517,Korean,nouns,body_parts,0.6633679798554457,0.6970449335655733,-6.959897621580619,0.30001718634288466,23.19832975710354,0.6633679798554457
lion,0.3333333333333333,0.125,0.25,0.6896551724137931,Korean,nouns,animals,0.980071465192561,0.825329576937764,-6.91513131181867,0.29990945348630904,23.057396929084625,0.980071465192561
lip,0.4444444444444444,0.5454545454545454,0.6666666666666666,0.5172413793103449,Korean,nouns,body_parts,-1.4551529404889745,0.825329576937764,-8.429331151029977,0.29954936107386243,28.14004049553451,-1.4551529404889745
microwave,0.4,0.125,0.4,0.6896551724137931,Korean,nouns,furniture_rooms,-1.8923679379548188,0.2135105085473155,-9.54929624145143,0.29949258342816665,31.884917256195862,-1.8923679379548188
monkey,0.18181818181818185,0.06666666666666667,0.6,0.7586206896551724,Korean,nouns,animals,1.0371647964322828,0.7661212799967533,-7.547268768836819,0.2998269889566379,25.172079388518068,1.0371647964322828
motorcycle,0.5384615384615384,0.5,0.8,0.6428571428571429,Korean,nouns,vehicles,0.1252524148456194,0.8351976264279324,-7.753012773145235,0.29974492315709755,25.86536809860112,0.1252524148456194
mouse,0.5,0.4,0.9,0.7241379310344828,Korean,nouns,animals,-0.20560078694684175,0.6970449335655733,-7.923505976607359,0.299827666890055,26.42686733613833,-0.20560078694684175
mouth,0.6666666666666666,0.4166666666666667,0.8333333333333334,0.7241379310344828,Korean,nouns,body_parts,0.5814869811377191,0.6082324881540567,-6.183682694068762,0.3000039312432633,20.61200554420274,0.5814869811377191
nail (object),0.4444444444444444,0.3333333333333333,0.8,0.6206896551724138,Korean,nouns,household,1.2224047433429484,0.7957254284672582,-10.196538585843372,0.2997304025850395,34.0190334310528,1.2224047433429484
