theword,block,response,totcount,eng_response,proportion
사탕,solidity,해당 사항 없음,4,not applicable,0.25
상자,category_organization,물질,2,substance,0.5
상자,category_organization,형태,2,form,0.5
상자,count_mass,셀 수 있다,1,countable,1
상자,solidity,고형물,1,solid,1
새,category_organization,형태,2,form,1
새,category_organization,형태,2,form,1
새,count_mass,셀 수 있다,3,countable,1
새,count_mass,셀 수 있다,3,countable,1
새,count_mass,셀 수 있다,3,countable,1
새,solidity,고형물,2,solid,1
새,solidity,고형물,2,solid,1
생선,category_organization,물질,3,substance,0.6666666666666666
생선,category_organization,물질,3,substance,0.6666666666666666
생선,category_organization,색상,3,color,0.3333333333333333
생선,solidity,고형물,3,solid,1
생선,solidity,고형물,3,solid,1
생선,solidity,고형물,3,solid,1
서랍,category_organization,물질,3,substance,0.3333333333333333
서랍,category_organization,형태,3,form,0.6666666666666666
서랍,category_organization,형태,3,form,0.6666666666666666
서랍,count_mass,셀 수 있다,1,countable,1
서랍,solidity,고형물,3,solid,1
서랍,solidity,고형물,3,solid,1
서랍,solidity,고형물,3,solid,1
선물,count_mass,셀 수 있다,2,countable,1
선물,count_mass,셀 수 있다,2,countable,1
선물,solidity,고형물,3,solid,1
선물,solidity,고형물,3,solid,1
선물,solidity,고형물,3,solid,1
설탕,category_organization,물질,1,substance,1
설탕,count_mass,셀 수 없다,4,uncountable,1
설탕,count_mass,셀 수 없다,4,uncountable,1
설탕,count_mass,셀 수 없다,4,uncountable,1
설탕,count_mass,셀 수 없다,4,uncountable,1
설탕,solidity,비고형물,1,non-solid,1
세탁기,category_organization,물질,2,substance,0.5
세탁기,category_organization,형태,2,form,0.5
세탁기,solidity,고형물,1,solid,1
소,category_organization,물질,2,substance,0.5
소,category_organization,형태,2,form,0.5
소,count_mass,셀 수 있다,1,countable,1
소,solidity,고형물,3,solid,0.6666666666666666
소,solidity,고형물,3,solid,0.6666666666666666
소,solidity,해당 사항 없음,3,not applicable,0.3333333333333333
소금,category_organization,물질,3,substance,1
소금,category_organization,물질,3,substance,1
소금,category_organization,물질,3,substance,1
소금,count_mass,셀 수 없다,3,uncountable,1
소금,count_mass,셀 수 없다,3,uncountable,1
소금,count_mass,셀 수 없다,3,uncountable,1
소금,solidity,고형물,1,solid,1
소파,category_organization,해당 사항 없음,3,not applicable,0.3333333333333333
소파,category_organization,형태,3,form,0.6666666666666666
소파,category_organization,형태,3,form,0.6666666666666666
